"Country","Fiscal_Year","HE.Provider","FX_Rate","Enrollment","Level.Of.Study","Mode.Of..Study","Academic.Year","Visa.Code","Visa.Fee....","Visa.NHS.Charge....","Visa.After.Graduation","Visa.Work.Requirements.After.Graduation","Salary.Requirements","Dependents.Allowed","Visa.Fee..Dependents","Visa.NHS.Charge.Depen","HE.Provider.Term.1","HE.Provider.Term.2","Growth.Indicator","Value"
"China","2014","Abertay University",9.61,10,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Abertay University",9.61,10,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Abertay University",9.66,10,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Abertay University",9.66,10,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Abertay University",9.78,10,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Abertay University",9.78,10,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Abertay University",9.95,10,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Abertay University",9.95,10,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Abertay University",9.96,10,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Abertay University",9.96,10,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Abertay University",10.2,10,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Abertay University",10.2,10,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Abertay University",10.29,10,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Abertay University",10.29,10,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Abertay University",10.36,10,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Abertay University",10.36,10,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Abertay University",10.42,10,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Abertay University",10.42,10,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Abertay University",10.46,10,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Abertay University",10.46,10,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Abertay University",10.56,10,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Abertay University",10.56,10,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Abertay University",10.61,10,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Abertay University",10.61,10,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Edinburgh Napier University",9.61,770,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Edinburgh Napier University",9.61,770,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Edinburgh Napier University",9.66,770,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Edinburgh Napier University",9.66,770,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Edinburgh Napier University",9.78,770,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Edinburgh Napier University",9.78,770,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Edinburgh Napier University",9.95,770,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Edinburgh Napier University",9.95,770,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Edinburgh Napier University",9.96,770,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Edinburgh Napier University",9.96,770,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Edinburgh Napier University",10.2,770,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Edinburgh Napier University",10.2,770,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Edinburgh Napier University",10.29,770,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Edinburgh Napier University",10.29,770,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Edinburgh Napier University",10.36,770,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Edinburgh Napier University",10.36,770,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Edinburgh Napier University",10.42,770,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Edinburgh Napier University",10.42,770,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Edinburgh Napier University",10.46,770,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Edinburgh Napier University",10.46,770,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Edinburgh Napier University",10.56,770,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Edinburgh Napier University",10.56,770,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Edinburgh Napier University",10.61,770,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Edinburgh Napier University",10.61,770,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Glasgow Caledonian University",9.61,425,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Glasgow Caledonian University",9.61,425,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Glasgow Caledonian University",9.66,425,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Glasgow Caledonian University",9.66,425,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Glasgow Caledonian University",9.78,425,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Glasgow Caledonian University",9.78,425,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Glasgow Caledonian University",9.95,425,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Glasgow Caledonian University",9.95,425,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Glasgow Caledonian University",9.96,425,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Glasgow Caledonian University",9.96,425,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Glasgow Caledonian University",10.2,425,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Glasgow Caledonian University",10.2,425,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Glasgow Caledonian University",10.29,425,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Glasgow Caledonian University",10.29,425,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Glasgow Caledonian University",10.36,425,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Glasgow Caledonian University",10.36,425,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Glasgow Caledonian University",10.42,425,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Glasgow Caledonian University",10.42,425,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Glasgow Caledonian University",10.46,425,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Glasgow Caledonian University",10.46,425,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Glasgow Caledonian University",10.56,425,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Glasgow Caledonian University",10.56,425,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Glasgow Caledonian University",10.61,425,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Glasgow Caledonian University",10.61,425,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Glasgow School of Art",9.61,120,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Glasgow School of Art",9.61,120,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Glasgow School of Art",9.66,120,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Glasgow School of Art",9.66,120,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Glasgow School of Art",9.78,120,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Glasgow School of Art",9.78,120,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Glasgow School of Art",9.95,120,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Glasgow School of Art",9.95,120,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Glasgow School of Art",9.96,120,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Glasgow School of Art",9.96,120,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Glasgow School of Art",10.2,120,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Glasgow School of Art",10.2,120,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Glasgow School of Art",10.29,120,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Glasgow School of Art",10.29,120,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Glasgow School of Art",10.36,120,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Glasgow School of Art",10.36,120,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Glasgow School of Art",10.42,120,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Glasgow School of Art",10.42,120,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Glasgow School of Art",10.46,120,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Glasgow School of Art",10.46,120,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Glasgow School of Art",10.56,120,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Glasgow School of Art",10.56,120,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Glasgow School of Art",10.61,120,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Glasgow School of Art",10.61,120,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Heriot-Watt University",9.61,1700,"All postgraduate","All","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Heriot-Watt University",9.61,1700,"All postgraduate","All","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Heriot-Watt University",9.66,1700,"All postgraduate","All","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Heriot-Watt University",9.66,1700,"All postgraduate","All","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Heriot-Watt University",9.78,1700,"All postgraduate","All","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Heriot-Watt University",9.78,1700,"All postgraduate","All","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Heriot-Watt University",9.95,1700,"All postgraduate","All","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Heriot-Watt University",9.95,1700,"All postgraduate","All","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Heriot-Watt University",9.96,1700,"All postgraduate","All","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Heriot-Watt University",9.96,1700,"All postgraduate","All","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Heriot-Watt University",10.2,1700,"All postgraduate","All","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Heriot-Watt University",10.2,1700,"All postgraduate","All","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Heriot-Watt University",10.29,1700,"All postgraduate","All","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Heriot-Watt University",10.29,1700,"All postgraduate","All","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Heriot-Watt University",10.36,1700,"All postgraduate","All","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Heriot-Watt University",10.36,1700,"All postgraduate","All","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Heriot-Watt University",10.42,1700,"All postgraduate","All","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Heriot-Watt University",10.42,1700,"All postgraduate","All","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Heriot-Watt University",10.46,1700,"All postgraduate","All","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Heriot-Watt University",10.46,1700,"All postgraduate","All","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Heriot-Watt University",10.56,1700,"All postgraduate","All","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Heriot-Watt University",10.56,1700,"All postgraduate","All","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Heriot-Watt University",10.61,1700,"All postgraduate","All","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Heriot-Watt University",10.61,1700,"All postgraduate","All","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Queen Margaret University, Edinburgh",9.61,15,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Queen Margaret University, Edinburgh",9.61,15,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Queen Margaret University, Edinburgh",9.66,15,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Queen Margaret University, Edinburgh",9.66,15,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Queen Margaret University, Edinburgh",9.78,15,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Queen Margaret University, Edinburgh",9.78,15,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Queen Margaret University, Edinburgh",9.95,15,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Queen Margaret University, Edinburgh",9.95,15,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Queen Margaret University, Edinburgh",9.96,15,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Queen Margaret University, Edinburgh",9.96,15,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Queen Margaret University, Edinburgh",10.2,15,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Queen Margaret University, Edinburgh",10.2,15,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Queen Margaret University, Edinburgh",10.29,15,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Queen Margaret University, Edinburgh",10.29,15,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Queen Margaret University, Edinburgh",10.36,15,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Queen Margaret University, Edinburgh",10.36,15,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Queen Margaret University, Edinburgh",10.42,15,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Queen Margaret University, Edinburgh",10.42,15,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Queen Margaret University, Edinburgh",10.46,15,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Queen Margaret University, Edinburgh",10.46,15,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Queen Margaret University, Edinburgh",10.56,15,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Queen Margaret University, Edinburgh",10.56,15,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Queen Margaret University, Edinburgh",10.61,15,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Queen Margaret University, Edinburgh",10.61,15,"All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
"China","2014","Robert Gordon University",9.61,240,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","GDP (annual %)",7.425763656
"China","2014","Robert Gordon University",9.61,240,"All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January","Inflation (annual %)",1.031063688
